CaseDT,CityName,TownName,Address,Coordinate,DisasterMainType,DisasterSubType,CaseDescription
2017-6-5 08:15,彰化縣,溪湖鎮,彰化縣溪湖鎮溪湖營業所,"120.482108,23.958832",積淹水災情,道路積淹水,道路積淹水
2017-6-5 06:22,南投縣,仁愛鄉,南投縣仁愛鄉霧社,"121.143592230794,24.0273149707483",道路、隧道災情,道路落石,霧社往萬大路段 5.5k處有落石坍塌
2017-6-5 02:23,,,"982, Taiwan, Hualien County, Zhuoxi Township, 八通關古道","121.260172433,23.3068658235",其他災情,其他,玉里圳第一進水口非固定式攔水埧沖毀450公尺
2017-6-5 02:18,,,"981, Taiwan, Hualien County, Yuli Township, 31-1","121.322831678,23.3570018482",其他災情,其他, 
2017-6-5 02:18,,,"Unnamed Road, Yuli Township, Hualien County, Taiwan 981","121.334899332,23.3535924854",其他災情,其他, 
2017-6-5 01:53,花蓮縣,玉里鎮,981台灣花蓮縣玉里鎮台30線367號,"121.297715736,23.3015347989",其他災情,其他,玉里圳第三進水口非固定攔水埧沖毀180公尺
2017-6-5 01:45,花蓮縣,,台灣花蓮縣清水林道,"121.272875105,23.2885036756",其他災情,其他,長良圳進水口非固定攔水埧沖毀200公尺
2017-6-5 01:41,,,"Unnamed Road, Yuli Township, Hualien County, Taiwan 981","121.333189854,23.3601233836",其他災情,其他,大禹圳1+400補助進水口非固定式攔水埧沖毀
2017-6-5 01:38,,,"981, Taiwan, Hualien County, Yuli Township, 花67鄉道","121.322198053,23.3945863804",其他災情,其他,大禹圳5支線非固定式攔水埧沖毀126公尺
2017-6-5 01:24,南投縣,埔里鎮,545台灣南投縣埔里鎮埔里,"120.9780451,23.9523598",其他災情,其他,大水淹至水閘門機電部份造成不會電動操作
2017-6-4 21:05,高雄市,左營區,高雄市左營區新莊一路160號前,"120.298571,22.672664",道路、隧道災情,路基流失,"人行道上路基掏空,路上行人眾多,請儘快處理避免行人受傷  經現場確認為污水管人孔塌陷,已請維護廠商先做交維設施至明天派工進場修復  市區側溝維護廠商亦至現場勘查,預定明天白天時再共同會勘決定修復方式 "
2017-6-4 20:00,南投縣,信義鄉,南投縣信義鄉[南投縣信義鄉],"120.87089538574219,23.67592338092889",民生、基礎設施災情,電力停電,信義鄉自強村、愛國村、新鄉村、羅娜、望美村等五村停電
2017-6-4 19:45,南投縣,竹山鎮,南投縣竹山鎮公正巷[南投縣竹山鎮延正里],"120.68716406822205,23.778014155340195",民生、基礎設施災情,路燈故障,下坪里公正巷海防峽上去路燈著火
2017-6-4 19:39,南投縣,水里鄉,南投縣水里鄉玉峰村永樂巷[南投縣水里鄉玉峰村3鄰36之1號],"120.83590865135193,23.80551832457947",土石災情,土石崩落,永樂巷92號近雲天宮左側，邊坡滑落崩落，交通受阻。
2017-6-4 19:37,南投縣,水里鄉,南投縣水里鄉玉峰村萬壽巷[南投縣水里鄉玉峰村],"120.83758234977722,23.80439438368141",土石災情,土石崩落,玉峰村萬壽路45號邊坡滑落崩塌，交通受阻。
2017-6-4 19:22,南投縣,水里鄉,南投縣水里鄉上安村台21線[南投縣水里鄉上安村],"120.85635513067245,23.73699907043158",積淹水災情,地下道積水,台21線85.5K排水道阻塞，水淹路面。
2017-6-4 19:21,南投縣,竹山鎮,南投縣竹山鎮德興里德興段939地號,"120.673314,23.73148",土石災情,土石崩落,德興里德興段939地號附近農路土石滑落需清理
2017-6-4 19:18,南投縣,水里鄉,南投縣水里鄉玉峰村仁愛路[南投縣水里鄉玉峰村],"120.83824217319489,23.80623489317502",土石災情,土石崩落,仁愛路3之1號(後水坑)土石崩落，影響交通。
2017-6-4 19:10,南投縣,水里鄉,南投縣水里鄉民和村益則路80號,"120.92675,23.821518",土石災情,土石崩落,民和村益則路80號上方數處有坍方，影響交通。
2017-6-4 18:56,南投縣,南投市,南投縣南投市府西路137號,"120.686388,23.961294",積淹水災情,房屋積淹水,水退後，馬路積留土石，防礙安全
2017-6-4 18:42,南投縣,水里鄉,南投縣水里鄉水里一路56號,"120.852233,23.818731",土石災情,土石流,廟後方山崩，土石流入管理室
2017-6-4 17:51,雲林縣,林內鄉,雲林縣林內鄉林北村中正東路35巷2號,"120.625562,23.765702",民生、基礎設施災情,電力停電,停電中，請台電協助恢復供電。
2017-6-4 17:51,南投縣,竹山鎮,南投縣竹山鎮雲林里大忠路[南投縣竹山鎮雲林里29鄰大忠路20巷1號],"120.6768000125885,23.758088405110986",道路、隧道災情,路基流失,"下水道試挖管溝下陷,已先擺設交通錐並連絡營建署下水道廠商大武工程處置"
2017-6-4 17:41,雲林縣,林內鄉,雲林縣林內鄉林北村新光路49之1號,"120.631554,23.768621",民生、基礎設施災情,電力停電,目前停電中，請台電協助恢復供電
