"NID","CaseID","CaseDT","EventName","DisasterMainType","DisasterSubType","Coordinate","WGS84_lon","WGS84_lat","CityName","TownName","Address","CaseDescription","DeathNo","MissingNo","InjuredNo","TrappedNo","ShelterNo","CaseStatus","GeometryType","SourceType","CaseInformer","Is_Traffic","Is_Serious","nTWD97_X","nTWD97_Y","WriteDateTime"
187774,"122017060001207","2017-06-24T08:27:52","106年6月EMIC操作演練中央專案","廣告招牌災情","廣告招牌掉落","121.637153,25.062780",121.637153,25.06278,"新北市","汐止區  ","新北市汐止區工建路","廣告招牌掉落",0,0,0,0,0,"待處理","點","企業通報-TCAT","TCAT","否","否",314282.36,2772882.63,"2017-06-24T08:57:00"
187773,"122017060001206","2017-06-24T08:06:14","106年6月EMIC操作演練中央專案","積淹水災情","道路積淹水","120.661468,24.120013",120.661468,24.120013,"臺中市","南區   ","臺中市南區中南營業所","道路積淹水",0,0,0,0,0,"待處理","點","企業通報-TCAT","TCAT","否","否",215589.1,2668355.87,"2017-06-24T08:27:00"
187772,"122017060001205","2017-06-23T19:49:53","106年6月EMIC操作演練中央專案","路樹災情","路樹倒塌","120.678512,24.205663",120.678512,24.205663,"臺中市","潭子區  ","臺中市潭子區大德北路","路樹倒塌",0,0,0,0,0,"待處理","點","企業通報-TCAT","TCAT","否","否",217343.37,2677837.59,"2017-06-23T20:27:00"
187770,"122017060001204","2017-06-23T17:58:15","106年6月EMIC操作演練中央專案","路樹災情","路樹倒塌","120.652113,24.118493",120.652113,24.118493,"臺中市","南區   ","臺中市南區文心南路","路樹倒塌",0,0,0,0,0,"待處理","點","企業通報-TCAT","TCAT","否","否",214637.76,2668189.86,"2017-06-23T18:27:00"
187771,"122017060001203","2017-06-23T17:44:36","106年6月EMIC操作演練中央專案","道路、隧道災情","路基流失","120.265380,22.812438",120.26538,22.812438,"高雄市","岡山區  ","高雄市岡山區本洲里","路基流失",0,0,0,0,0,"待處理","點","企業通報-TCAT","TCAT","是","否",174587.32,2523701.53,"2017-06-23T18:27:00"
187766,"112017060001926","2017-06-23T16:33:48","106年6月EMIC操作演練中央專案","其他災情","人員落水","121.5425,24.98849",121.5425,24.98849,"臺北市","文山區  ","台北市文山區試院里木柵路一段1號","雨導致於臺北市文山區景美溪溪水暴漲，5名釣客遭大水沖走，目前仍未有消息。(106.06.23.防災資訊網演習)",0,5,0,0,0,"處理中","點","自建系統","","是","否",304765.58,2764612.22,"2017-06-23T16:57:00"
187767,"042017060002617","2017-06-23T16:19:34","106年6月EMIC操作演練中央專案","環境汙染","環境汙染","120.881104504775,24.6277572064358",120.881105,24.627757,"苗栗縣","造橋鄉  ","苗栗縣造橋鄉","南瓜好臭～ ==================== 公所南瓜爆炸啦！！！ ",0,0,0,0,0,"待處理","點","災情查報WEB","","否","否",237962.78,2724553.51,"2017-06-23T16:57:00"
187741,"042017060002614","2017-06-23T16:19:34","106年6月EMIC操作演練中央專案","環境汙染","環境汙染","120.881104504775,24.6277572064358",120.881105,24.627757,"苗栗縣","造橋鄉  ","苗栗縣造橋鄉","公所南瓜爆炸啦！！！",0,0,0,0,0,"未指派","點","災情查報WEB","","是","否",237962.78,2724553.51,"2017-06-23T16:27:00"
187742,"042017060002611","2017-06-23T16:14:13","106年6月EMIC操作演練中央專案","道路、隧道災情","路基流失","120.953737787072,24.6310610792957",120.953738,24.631061,"苗栗縣","三灣鄉  ","苗栗縣三灣鄉","交通中斷",0,0,0,0,0,"待處理","點","災情查報WEB","","是","是",245316.45,2724915.01,"2017-06-23T16:27:00"
187743,"042017060002609","2017-06-23T16:13:36","106年6月EMIC操作演練中央專案","積淹水災情","房屋積淹水","120.881104504775,24.6277572064358",120.881105,24.627757,"苗栗縣","造橋鄉  ","苗栗縣造橋鄉","淹水",0,0,0,0,0,"已處理","點","災情查報WEB","","否","否",237962.78,2724553.51,"2017-06-23T16:27:00"
187744,"042017060002607","2017-06-23T16:10:25","106年6月EMIC操作演練中央專案","鐵路、高鐵及捷運災情","工程災害","120.953737787072,24.6310610792957",120.953738,24.631061,"苗栗縣","三灣鄉  ","苗栗縣三灣鄉","交通中斷",0,0,0,0,0,"待處理","點","災情查報WEB","","是","是",245316.45,2724915.01,"2017-06-23T16:27:00"
187745,"042017060002612","2017-06-23T16:09:34","106年6月EMIC操作演練中央專案","路樹災情","路樹傾斜","120.88520082247,24.5714170076419",120.885201,24.571417,"苗栗縣","頭屋鄉  ","苗栗縣頭屋鄉","橋梁斷裂 車輛受困 ==================== 路樹倒塌 ==================== 死傷六人 ",0,0,0,0,0,"已處理","點","災情查報WEB","","否","否",238372.29,2718313.14,"2017-06-23T16:27:00"
187746,"042017060002603","2017-06-23T16:09:01","106年6月EMIC操作演練中央專案","路樹災情","路樹傾斜","120.782416,24.613855",120.782416,24.613855,"苗栗縣","後龍鎮  ","苗栗縣後龍鎮南龍里1鄰3號","民眾通報路樹倒塌",0,0,0,0,0,"已處理","點","災情查報WEB","","否","否",227968.89,2723025.97,"2017-06-23T16:27:00"
187747,"042017060002602","2017-06-23T16:07:29","106年6月EMIC操作演練中央專案","路樹災情","路樹傾斜","120.881104504775,24.6277572064358",120.881105,24.627757,"苗栗縣","造橋鄉  ","苗栗縣造橋鄉","路樹災情 ==================== 環境汙染 ",0,0,0,0,0,"已處理","點","災情查報WEB","","否","是",237962.78,2724553.51,"2017-06-23T16:27:00"
187748,"042017060002600","2017-06-23T16:05:15","106年6月EMIC操作演練中央專案","火災","公共場所","120.792017,24.613739",120.792017,24.613739,"苗栗縣","後龍鎮  ","苗栗縣後龍鎮大庄里中山路152號","後龍鎮公所 秘書室因民眾心生不滿而縱火致火災發生",0,0,0,0,0,"已處理","點","災情查報WEB","","否","否",228941.01,2723011.62,"2017-06-23T16:27:00"
187749,"042017060002596","2017-06-23T16:04:45","106年6月EMIC操作演練中央專案","路樹災情","路樹傾斜","120.804475,24.386515",120.804475,24.386515,"苗栗縣","三義鄉  ","苗栗縣三義鄉雙潭村16鄰崩山下11號","本所己派肙前往處理 ==================== 本所己派員清理 ",0,0,0,0,0,"已處理","點","災情查報WEB","","否","是",230166.81,2697843.61,"2017-06-23T16:27:00"
